District,Year,Season,Area,Production,Yield_MTha,Is_Interpolated,Yield_Q_Acre,W1_PRECTOTCORR,W1_T2M,W1_RH2M,W1_GWETROOT,W2_PRECTOTCORR,W2_T2M,W2_RH2M,W2_GWETROOT,W3_PRECTOTCORR,W3_T2M,W3_RH2M,W3_GWETROOT,W4_PRECTOTCORR,W4_T2M,W4_RH2M,W4_GWETROOT,W5_PRECTOTCORR,W5_T2M,W5_RH2M,W5_GWETROOT,W6_PRECTOTCORR,W6_T2M,W6_RH2M,W6_GWETROOT,W7_PRECTOTCORR,W7_T2M,W7_RH2M,W7_GWETROOT,W8_PRECTOTCORR,W8_T2M,W8_RH2M,W8_GWETROOT,W9_PRECTOTCORR,W9_T2M,W9_RH2M,W9_GWETROOT,W10_PRECTOTCORR,W10_T2M,W10_RH2M,W10_GWETROOT,W11_PRECTOTCORR,W11_T2M,W11_RH2M,W11_GWETROOT,W12_PRECTOTCORR,W12_T2M,W12_RH2M,W12_GWETROOT,Q1_Threshold,Failure_Anomaly
Angul,2006,Kharif,111000.0,148000.0,1.3333333333333333,False,5.395926075812761,23.36,29.455714285714286,74.79571428571428,0.5057142857142857,38.46,27.641428571428573,86.48428571428572,0.5242857142857142,138.2,27.72714285714286,87.44714285714285,0.6057142857142858,25.16,27.6,84.78857142857143,0.6228571428571429,75.25,26.65285714285714,87.42999999999999,0.6571428571428571,110.15,26.83857142857143,87.98285714285714,0.7314285714285714,116.4,26.23857142857143,90.76571428571428,0.7914285714285715,35.35,26.805714285714288,86.92428571428572,0.8171428571428571,192.43,26.707142857142856,91.17142857142858,0.8742857142857143,103.76,26.40571428571429,92.06714285714284,0.9542857142857144,135.53,26.04,91.60428571428572,0.9585714285714284,103.28,26.44142857142857,88.1557142857143,0.9757142857142858,4.6825223879048234,0
Angul,2007,Kharif,102000.0,84000.0,0.8235294117647058,False,3.33277787035494,44.17,30.26571428571429,69.99142857142857,0.4414285714285714,75.98,27.965714285714284,84.39,0.4942857142857143,74.35,27.63428571428572,84.93571428571428,0.5342857142857144,48.39,27.72428571428572,82.30714285714285,0.5742857142857142,60.19,27.981428571428573,85.94428571428571,0.5785714285714285,80.74,26.67142857142857,88.97,0.64,17.83,27.07,86.49142857142859,0.6428571428571429,185.39,26.957142857142856,88.58285714285714,0.7514285714285714,57.53,26.487142857142857,89.23714285714286,0.7985714285714286,102.06,26.262857142857143,88.9342857142857,0.8314285714285715,32.46,26.85142857142857,89.3442857142857,0.8514285714285714,148.31,27.19,90.2057142857143,0.8671428571428572,4.6825223879048234,1
Angul,2008,Kharif,98000.0,131000.0,1.336734693877551,False,5.4096911933531,124.03,26.13428571428572,84.0657142857143,0.5814285714285715,132.53,27.344285714285714,87.89857142857143,0.6428571428571429,66.97,27.162857142857145,86.64857142857143,0.7214285714285714,101.11,26.692857142857143,88.3,0.7728571428571429,90.64,26.73857142857143,89.0442857142857,0.8185714285714286,57.86,26.65714285714285,90.07428571428572,0.8328571428571429,68.04,27.02857142857143,89.37571428571428,0.8742857142857143,78.84,27.4,90.64714285714284,0.8671428571428572,160.47,27.14,89.52428571428571,0.9457142857142856,119.05,26.385714285714283,89.75857142857141,0.97,27.24,26.89428571428571,89.67285714285715,0.9514285714285714,50.89,26.50714285714286,89.28428571428572,0.9228571428571428,4.6825223879048234,0
Angul,2009,Kharif,104000.0,102000.0,0.9807692307692308,False,3.969118699996887,0.89,32.78428571428572,53.73285714285714,0.4085714285714285,25.75,32.068571428571424,59.60285714285715,0.4042857142857143,109.09,28.262857142857143,82.49,0.4871428571428571,138.93,26.948571428571427,87.71571428571428,0.5857142857142856,165.74,27.65285714285714,87.85428571428572,0.72,82.24000000000001,27.32,87.63285714285715,0.8085714285714286,26.36,27.2,88.84142857142857,0.7985714285714286,34.16,27.31,88.15714285714286,0.7857142857142857,117.22,27.46,90.28857142857144,0.8371428571428571,86.77000000000001,26.307142857142857,89.95714285714287,0.8728571428571429,60.02,26.45142857142857,91.17285714285715,0.9128571428571428,59.11,26.81714285714286,90.12142857142858,0.9,4.6825223879048234,1
Angul,2010,Kharif,84000.0,47000.0,0.5595238095238095,False,2.264361835385712,15.01,28.90571428571429,77.10857142857142,0.4728571428571428,84.75,28.695714285714285,81.40285714285714,0.5157142857142858,69.03,27.542857142857144,86.12,0.5742857142857142,54.08,27.78142857142857,84.51571428571428,0.5871428571428571,29.74,27.981428571428573,85.07857142857142,0.5914285714285714,128.79,27.357142857142858,87.52,0.6142857142857142,32.76,27.26,87.3442857142857,0.6657142857142857,139.71,27.07,87.19285714285715,0.7614285714285715,22.2,27.295714285714286,87.90714285714286,0.7471428571428572,22.28,27.43142857142857,85.92285714285715,0.7328571428571429,55.31,27.035714285714285,88.72142857142856,0.7342857142857142,21.24,27.49857142857143,87.50428571428571,0.7157142857142856,4.6825223879048234,1
Angul,2011,Kharif,78000.0,76000.0,0.9743589743589745,False,3.943176747709325,132.82,27.542857142857144,85.34571428571428,0.5428571428571429,41.58,27.58,85.03857142857143,0.5614285714285715,62.83,27.385714285714283,84.48428571428572,0.5842857142857143,74.32,27.341428571428573,85.29857142857144,0.6342857142857143,128.89,27.428571428571427,88.56142857142858,0.6985714285714285,64.83,26.237142857142857,87.0,0.76,45.52,27.91142857142857,85.35428571428572,0.7314285714285714,100.42,27.321428571428573,88.63857142857144,0.7885714285714285,71.43,26.455714285714286,90.33285714285716,0.8371428571428571,43.73,26.24,88.76,0.8485714285714285,109.64,26.79714285714286,91.0442857142857,0.8785714285714287,199.25,26.40285714285714,92.27428571428572,0.9557142857142856,4.6825223879048234,1
Angul,2012,Kharif,83000.0,173000.0,2.0843373493975905,False,8.435197690803683,143.06,28.607142857142858,79.12428571428572,0.4657142857142857,48.62,28.275714285714287,80.94000000000001,0.5571428571428572,115.46,28.08,84.43857142857142,0.5785714285714285,59.83,27.417142857142856,86.58428571428571,0.6414285714285715,109.67,27.45428571428572,87.31285714285715,0.6642857142857144,86.3,27.147142857142857,87.11142857142856,0.7657142857142858,68.07000000000001,26.35571428571429,87.97428571428573,0.7871428571428571,87.41,26.801428571428573,89.9557142857143,0.8228571428571428,137.51999999999998,26.372857142857143,90.99714285714286,0.8628571428571429,94.53,26.75142857142857,90.77571428571429,0.9557142857142856,55.22,26.642857142857142,90.00857142857141,0.937142857142857,73.04,27.07,90.01428571428572,0.9128571428571428,4.6825223879048234,0
Angul,2013,Kharif,78000.0,150000.0,1.9230769230769231,False,7.782585686268405,95.44,29.07857142857143,77.09857142857143,0.4928571428571428,55.82,28.61285714285714,82.13857142857144,0.5642857142857143,19.43,27.79,82.16857142857144,0.5442857142857144,36.57,28.305714285714284,81.34714285714287,0.5242857142857142,69.57,27.892857142857142,83.0942857142857,0.5442857142857144,73.77,27.604285714285712,87.34142857142857,0.5928571428571427,92.87,26.69857142857143,86.73571428571428,0.6585714285714286,70.85000000000001,27.442857142857143,85.67285714285715,0.6657142857142857,54.87,27.12857142857143,85.89428571428572,0.6942857142857142,66.92,26.647142857142857,88.27571428571427,0.74,46.35,26.69428571428572,86.97428571428573,0.7314285714285714,34.89,26.81571428571429,88.24428571428572,0.7342857142857142,4.6825223879048234,0
Angul,2014,Kharif,90000.0,224000.0,2.488888888888889,False,10.072395341517154,56.17,30.19428571428572,71.99285714285715,0.47,22.56,31.18,67.22714285714287,0.4785714285714285,82.42,29.30857142857143,78.7942857142857,0.5242857142857142,50.83,28.890000000000004,80.89571428571428,0.5257142857142857,106.66,27.99857142857143,86.92571428571429,0.5971428571428571,113.13,26.74285714285714,85.53999999999999,0.7071428571428572,115.52,27.71,88.77,0.7442857142857143,153.99,26.61428571428572,89.32428571428571,0.8528571428571429,34.83,26.754285714285714,89.34857142857143,0.8542857142857142,30.53,27.24714285714285,86.79857142857144,0.8328571428571429,41.88,26.81571428571429,89.80142857142857,0.8271428571428572,182.04,26.07857142857143,92.46428571428572,0.9285714285714286,4.6825223879048234,0
Angul,2015,Kharif,79000.0,63000.0,0.7974683544303798,False,3.2273102162297844,45.38,28.75,76.79142857142857,0.44,49.48,28.327142857142857,76.45,0.4785714285714285,24.26,27.91,79.52857142857144,0.48,147.47,27.074285714285715,87.62714285714286,0.5857142857142856,60.08,27.732857142857146,86.50714285714285,0.6357142857142858,120.21,26.860000000000003,89.82571428571428,0.6900000000000001,125.83,26.301428571428573,88.77,0.7614285714285715,11.83,27.33285714285714,84.67,0.7885714285714286,54.79,27.74,87.62714285714286,0.7614285714285715,64.56,27.141428571428573,88.25,0.7828571428571429,124.61,27.29714285714286,89.56714285714285,0.8200000000000001,55.03,27.004285714285714,88.60857142857142,0.8628571428571429,4.6825223879048234,1
